ITEM: TIMESTEP 
0 
ITEM: NUMBER OF ATOMS 
3074 
ITEM: BOX BOUNDS ff ff ff      
0 73.02044839053717 
0 73.02044839053717 
0 73.02044839053717 
ITEM: ATOMS id index x y z temp vx vy vz r_xy fx fy fz VelocityMagnitude Coordination selection volume interactions area ncount fluid_temp DisplacementX DisplacementY DisplacementZ dis_norm rflux_dt dt g_dt r r_round
6 0 36.5102189641 36.5101964143 24.0345117131 0.9107481076 -5.2311251579e-06 -2.7780925954e-05 -12.4757124821 12.4757124822 0.0175872459 -0.0016756902 -0.0519455454 12.4757124822 8 1 1.0841910000000001 14.31584 1.559064 2.5841105976095617 0.8236006663574463 -0.00041772994696288407 6.167206663406083e-05 -0.04353338916167889 0.04353543698706346 0.051771975579546985 0.08714744124255369 0.5479416328953958 12.475712482132028 12.48
12 1 34.9542478884 36.5101996813 24.0346403984 0.9115534892 -1.5559763068 -2.4513993687e-05 -12.4755837969 12.4755837969 -0.0141983301 0.0093208683 -0.0452816568 12.5722413809 8 1 1.0849600000000001 14.352290000000002 1.561562 2.486803490039841 0.8235401074071556 0.0006789476944084878 0.00014464923440496262 -0.04330074340487459 0.043306307540444344 0.04508437329132079 0.08801338179284446 0.4721321789528651 12.572241380970926 12.57
14 2 33.3981639841 36.5101898805 24.0351359363 0.9106105004 -3.1120602112 -3.431479049e-05 -12.475088259 12.4750882591 -0.0246230243 0.0011192366 -0.0465085863 12.8574004305 8 1 1.0797 14.29525 1.561343 2.5228177689243028 0.8242568945483588 -0.0004332325820816396 -8.530850576451579e-06 -0.04282008166524597 0.04282227407627861 0.04675509311557532 0.0863536058516412 0.5014704514764923 12.85740043045838 12.86
15 3 31.8420337052 36.5101870916 24.0358807171 0.9108044518 -4.6681904901 -3.7103635123e-05 -12.4743434781 12.4743434782 -0.0170675336 -0.0015690865 -0.0446419271 13.3192059697 8 1 1.081907 14.33682 1.5599530000000001 2.5126278884462154 0.822342441467312 -0.000516852424790982 -1.8508996621754727e-05 -0.04421620579882023 0.044219230367065314 0.044839022701068494 0.08846201033268808 0.4684997925273291 13.319205969683507 13.32
22 4 30.285910996 36.5101904382 24.0369511554 0.9105753944 -6.2243131993 -3.3757021569e-05 -12.4732730399 12.4732730399 -0.0298071985 -0.0054869366 -0.049566092 13.9400364107 8 1 1.08168 14.32126 1.561336 2.4948533545816733 0.8200486648723218 -0.0002395295196035802 -0.0001107258442446635 -0.04549388086490458 0.04549464617681377 0.049735547457996604 0.09052672952767826 0.5079152728616293 13.940036410713422 13.94
24 5 28.7300376096 36.5101905976 24.0383623108 0.9095787012 -7.7801865857 -3.3597659026e-05 -12.4718618845 12.4718618846 -0.0526958819 0.0106726774 -0.0499492122 14.6996136744 8 1 1.080822 14.32339 1.5571249999999999 2.5055805737051795 0.8190356493331062 -0.0006994700834913163 -0.0002134012923227484 -0.045383860167618265 0.04538975173123545 0.05070461070943132 0.09054305186689371 0.51812929475211 14.699613674361613 14.7
26 6 27.1746871713 36.5101897211 24.0402537052 0.908717098 -9.335537024 -3.4474153047e-05 -12.4699704901 12.4699704901 -0.0817465999 -0.0020173398 -0.0587476881 15.5773045021 8 1 1.0785159999999998 14.308499999999999 1.5589589999999998 2.4908792031872515 0.8172022589091251 -0.0011319098186887418 0.00016819288106906436 -0.04590254385988793 0.045916805654268034 0.06073721302727883 0.09151483909087488 0.6153706054235001 15.577304502115508 15.58
30 7 25.6200915538 36.5102106773 24.0433098805 0.9055794207 -10.8901326415 -1.3517977749e-05 -12.4669143148 12.4669143148 -0.0768118825 0.0120922252 -0.058739013 16.5535174957 8 1 1.083434 14.283819999999997 1.5614050000000002 2.424300653386454 0.8133853116617136 -0.003632969128129026 -4.6287205909931394e-07 -0.046848115029500786 0.046988768303899246 0.06450183198640323 0.0921941090382864 0.6457529779694856 16.55351749575333 16.55
31 8 24.0486912351 36.5101756175 24.0486761753 0.8946167299 -12.4615329602 -4.857773871e-05 -12.46154802 12.4615480201 -0.0925658803 0.0131727468 -0.0922132489 17.6232795692 5 1 1.2006340000000002 14.915720000000002 3.198511 3.921049513944223 0.8088370022269062 -0.037083833515304074 -0.0008503597350819296 -0.03699033216603364 0.05238528890464709 0.13042773974427088 0.08577972767309372 1.266410980249679 17.623279569231055 17.62
112 9 36.5102095618 34.9542159363 24.0346478884 0.9107774948 -1.4633515597e-05 -1.556008259 -12.4755763068 12.572237903 -0.0012931763 0.003446932 -0.0533508945 12.572237903 8 1 1.08191 14.32312 1.5618589999999999 2.484543745019921 0.8246979594685251 -0.0004790687428517386 0.0005012939416862795 -0.04337908499385564 0.04338462650963473 0.05339818778830745 0.08607953533147494 0.5733706646944324 12.572237902978129 12.57
113 10 35.7322439841 35.7322294821 24.0345748207 0.9103919506 -0.7779802112 -0.7779947132 -12.4756493746 12.4998841231 -0.0149581034 0.0026290716 -0.0562303858 12.5240710753 8 1 1.0835460000000001 14.320329999999998 1.558545 2.591948749003985 0.8236753962783481 -0.0002912940066640739 3.48834781177969e-05 -0.04348549794664091 0.043486487564790455 0.056331411904171354 0.08671655432165193 0.5995166797318703 12.524071075362967 12.52
133 11 34.9542932271 34.9542649402 24.03478 0.9109025116 -1.5559309682 -1.555959255 -12.4754441953 12.5721007422 -0.018502115 -0.0169480335 -0.0455944664 12.6680163503 8 1 1.086618 14.34723 1.561932 2.6946382310756976 0.8239044951045869 0.00019060354737887898 5.668805746975751e-05 -0.04290852716431241 0.04290898794726659 0.04548939915841132 0.08699801649541317 0.4811981561610157 12.668016350284223 12.67
